BatchID,BatchCreatedBy,BatchTimeStamp,BatchFacilityID,ProductID,VirginPO,VirginLot,VirginQty
7626,1256,2018-08-22 20:58:00,4,223,47536,11,300.0
7633,804,2018-08-28 13:52:00,10,323,54095,21,160.0
7644,1256,2018-09-06 14:46:00,4,261,,Y5618B,40.81999969482422
7665,745,2018-09-17 19:30:00,4,512,29500,23,105.0
7666,745,2018-09-17 19:32:00,4,512,29500,24,415.0
7740,1256,2018-10-29 21:27:00,4,213,27808,36,362.8699951171875
7772,804,2018-11-13 20:48:00,10,115,57606,US80920,235.0
7775,804,2018-11-15 14:33:00,10,324,57744,"US80307, US80312, US80137",540.0
7789,1256,2018-11-21 14:42:00,4,225,55818,482052,566.989990234375
7811,1256,2018-12-03 17:02:00,4,225,55818,482314,412.7699890136719
7818,1256,2018-12-05 14:59:00,4,225,55818,482222,222.25999450683597
7828,797,2018-12-08 16:02:00,10,115,57606,US80930,265.0
7856,745,2018-12-28 12:28:00,4,212,24629,15-A625-3,207.8000030517578
7860,1068,2019-01-02 15:25:00,4,314,56853,481614,362.8699951171875
7868,804,2019-01-07 20:25:00,10,422,58347,W111997,242.5
7872,1256,2019-01-09 21:09:00,4,213,27808,37,544.3099975585938
7955,804,2019-02-26 16:48:00,10,115,60622,US81021,500.0
8011,1256,2019-03-26 13:54:00,4,512,61747,45,430.0
8067,797,2019-04-18 15:18:00,10,115,62355,US81097,500.0
8069,804,2019-04-18 20:00:00,10,422,58347,W132600,257.5
8081,1256,2019-04-23 20:43:00,4,314,56853,482593,399.0
8169,797,2019-05-29 18:12:00,10,423,63414,191-E0329,200.0
8175,1256,2019-05-31 21:17:00,4,225,63146,490571,90.8
8184,1256,2019-06-05 20:06:00,4,225,63146,490680,666.78
8186,1256,2019-06-06 16:39:00,4,241,61748,6,400.0
8244,804,2019-07-09 18:03:00,10,325,63625,491197,544.8
8254,745,2019-07-17 18:27:00,4,261,50050,Y6035B1,100.0
8286,797,2019-08-05 15:40:00,10,116,65724,UK2874,95.0
8294,804,2019-08-07 19:22:00,10,416,65724,US80134,60.0
8307,804,2019-08-15 12:31:00,10,115,65633,US81264,300.0
