BatchID,BatchCreatedBy,BatchTimeStamp,BatchFacilityID,ProductID,VirginPO,VirginLot,VirginWeight,CurrentWeight
6922,745,7/14/2017 13:39,4,511,,E211001,27.12000084,0
6930,745,7/19/2017 16:52,4,263,41511,Y5618B,40.91999817,0
6943,224,7/27/2017 14:55,10,116,43119,16-7031S,498.7999878,0
6945,807,7/27/2017 19:39,4,611,41210,4,400,0
6957,1170,8/7/2017 14:04,4,313,38305,8,300,0
6958,1170,8/7/2017 14:10,4,233,41666,7,205,0
6961,224,8/7/2017 16:16,10,323,43165,14,231.54,0
6965,1170,8/9/2017 13:28,4,351,37861,1,120,0
6972,224,8/11/2017 15:01,10,415,43341,39,500,0
6977,807,8/14/2017 13:59,4,263,43815,"Y5156B1, Y5618B",54.43104935,0
6989,1170,8/21/2017 18:44,4,313,44155,8,315,0
7040,807,9/18/2017 14:16,4,611,44725,4,45.35919952,0
7042,807,9/18/2017 18:46,4,233,41666,7,350,0
7050,224,9/21/2017 20:05,10,323,43165,14,145.2799988,0
7083,807,10/19/2017 17:54,4,515,29500,19,385,0
7093,224,10/26/2017 18:12,10,323,45805,15,200,0
7124,745,11/15/2017 22:07,4,263,44452,Y6035B1,54.47999954,0
7132,224,11/21/2017 17:10,10,414,46825,US80520,30,0
7153,807,12/5/2017 17:44,4,515,29500,20,25,0
7154,807,12/5/2017 17:51,4,611,45039,5,340,0
7155,745,12/5/2017 18:04,4,314,46240,472168,600,0
7159,224,12/7/2017 13:38,10,323,45805,16,300,0
7196,1170,1/3/2018 21:31,4,611,45039,6,1020,108.96
7204,1170,1/9/2018 14:30,4,331,37860,2,350,18.16
7213,224,1/15/2018 20:29,10,414,46825,US80558,100,0
7250,807,2/12/2018 17:18,4,233,47536,9,600,0
7264,224,2/19/2018 19:21,10,414,46825,US80579,200,0
7267,807,2/20/2018 20:22,4,515,29500,21,510,0
7269,807,2/21/2018 14:25,4,224,46730,718A31,290,0
7302,1258,3/9/2018 22:15,10,515,29500,21,260,95
7354,224,4/4/2018 18:14,10,114,49854,US80661,500,0
7357,1258,4/5/2018 19:00,10,414,46825,US80648,100,0
7358,1258,4/5/2018 19:17,10,323,50577,19,250,0
7363,745,4/9/2018 14:44,4,515,29500,23,100,0
7365,745,4/9/2018 19:49,4,515,29500,22,375,20
7372,1258,4/11/2018 22:24,10,114,49854,US80661,30,0
7385,1170,4/17/2018 15:27,4,515,29500,24,415,0
7501,224,6/20/2018 15:50,10,115,52590,US80758,250,0
7523,745,7/3/2018 13:32,4,515,29500,24,415,0
7526,745,7/3/2018 19:24,4,314,53310,480068,317.5,0
7534,224,7/6/2018 15:22,10,314,53310,481041,150,0
7550,745,7/16/2018 14:06,4,371,,C49,150,0
7587,804,8/3/2018 15:14,10,414,46825,US80520,70,0
7591,804,8/6/2018 18:57,10,323,54095,"18, 20",340,0
7597,1256,8/10/2018 16:16,4,314,53310,481041,322.0499878,0
7609,1256,8/15/2018 19:35,4,313,54668,11,150.0800018,0
7612,804,8/16/2018 15:05,10,115,54603,US80832,500,0
7626,1256,8/22/2018 20:58,4,233,47536,11,300,0
7633,804,8/28/2018 13:52,10,323,54095,21,160,0
7644,1256,9/6/2018 14:46,4,263,,Y5618B,40.81999969,0
7665,745,9/17/2018 19:30,4,515,29500,23,105,0
7666,745,9/17/2018 19:32,4,515,29500,24,415,0
7740,1256,10/29/2018 21:27,4,216,27808,36,362.8699951,0
7772,804,11/13/2018 20:48,10,115,57606,US80920,235,0
7775,804,11/15/2018 14:33,10,325,57744,"US80307, US80312, US80137",540,0
7789,1256,11/21/2018 14:42,4,223,55818,482052,566.9899902,0
7811,1256,12/3/2018 17:02,4,223,55818,482314,412.769989,0
7818,1256,12/5/2018 14:59,4,223,55818,482222,222.2599945,0
7828,797,12/8/2018 16:02,10,115,57606,US80930,265,0
7856,745,12/28/2018 12:28,4,211,24629,15-A625-3,207.8000031,0
7860,1068,1/2/2019 15:25,4,314,56853,481614,362.8699951,0
7868,804,1/7/2019 20:25,10,422,58347,W111997,242.5,0
7872,1256,1/9/2019 21:09,4,216,27808,37,544.3099976,0
7955,804,2/26/2019 16:48,10,115,60622,US81021,500,0
8011,1256,3/26/2019 13:54,4,515,61747,45,430,100
8067,797,4/18/2019 15:18,10,115,62355,US81097,500,0
8069,804,4/18/2019 20:00,10,422,58347,W132600,257.5,162.5
8081,1256,4/23/2019 20:43,4,314,56853,482593,399,0
8169,797,5/29/2019 18:12,10,423,63414,191-E0329,200,0
8175,1256,5/31/2019 21:17,4,223,63146,490571,90.8,0
8184,1256,6/5/2019 20:06,4,223,63146,490680,666.78,0
8186,1256,6/6/2019 16:39,4,241,61748,6,400,120
8244,804,7/9/2019 18:03,10,324,63625,491197,544.8,0
8254,745,7/17/2019 18:27,4,263,50050,Y6035B1,100,0
8286,797,8/5/2019 15:40,10,117,65724,UK2874,95,0
8294,804,8/7/2019 19:22,10,416,65724,US80134,60,0
8307,804,8/15/2019 12:31,10,115,65633,US81264,300,0
8383,804,9/23/2019 19:31,10,325,65724,"US80137, US80307",104.08,0
8400,1256,10/1/2019 21:31,4,223,63146,490571,122.47,0
8405,1256,10/3/2019 16:46,4,262,,UK84931,106,0
8406,1256,10/3/2019 16:48,4,262,,UK84930,188.7,0
8407,1256,10/3/2019 16:50,4,262,,UK84929,169.2,0
8408,1256,10/3/2019 16:51,4,262,,UK84955,110,0
8409,1256,10/3/2019 16:52,4,262,,UK84928,136.1,0
8499,1256,11/21/2019 19:11,4,115,63205,US81118,500,0
8512,804,12/2/2019 20:10,10,115,68311,US81383,300,0
8513,804,12/2/2019 20:45,10,115,68311,US81409,200,40
