BlendID,BlendDate,BlendCreatedBy,MaterialID,TotalWeight
301,2015-10-15 06:00:00,178,210,113.61999999999999
302,2015-10-15 06:00:00,178,210,112.7
303,2015-10-15 06:00:00,178,210,115.03999999999999
304,2015-10-15 06:00:00,178,210,118.39999999999999
305,2015-10-15 06:00:00,178,210,107.08
306,2015-10-15 06:00:00,178,210,119.92
307,2015-10-15 06:00:00,178,210,115.80000000000001
308,2015-10-15 06:00:00,178,210,116.32000000000001
309,2015-10-15 06:00:00,178,210,114.97999999999999
310,2015-10-15 06:00:00,178,210,119.64
311,2015-10-15 06:00:00,178,210,116.94
312,2015-10-15 06:00:00,178,210,117.58
313,2015-10-15 06:00:00,178,210,120.18
314,2015-10-15 06:00:00,178,210,117.0
315,2015-10-15 06:00:00,178,210,119.7
316,2015-10-15 06:00:00,178,210,117.9
317,2015-10-15 06:00:00,178,210,119.04
318,2015-10-15 06:00:00,178,210,123.17999999999999
319,2015-10-15 06:00:00,178,210,111.92
320,2015-10-22 06:00:00,178,210,122.88000000000001
321,2015-10-22 06:00:00,178,210,117.66
322,2015-10-22 06:00:00,178,210,123.02000000000001
323,2015-10-22 06:00:00,178,210,121.92
324,2015-10-22 06:00:00,178,210,126.5
325,2015-10-22 06:00:00,178,210,117.47
326,2015-10-22 06:00:00,178,210,118.12
327,2015-10-22 06:00:00,178,210,121.88
328,2015-10-22 06:00:00,178,210,121.58
329,2015-10-22 06:00:00,178,210,121.8
330,2015-10-22 06:00:00,178,210,116.56
331,2015-10-22 06:00:00,178,210,125.64
332,2015-11-09 06:00:00,178,210,115.38
333,2015-11-09 06:00:00,178,210,115.0
334,2015-11-09 06:00:00,178,210,122.02
335,2015-11-09 06:00:00,178,210,118.89999999999999
336,2015-11-09 06:00:00,178,210,119.56
337,2015-11-09 06:00:00,178,210,114.78
338,2015-11-09 06:00:00,178,210,124.22
339,2015-11-09 06:00:00,178,210,121.34
340,2015-11-09 06:00:00,178,210,114.8
341,2015-11-09 06:00:00,178,210,119.88
342,2015-11-09 06:00:00,178,210,119.39999999999999
343,2015-11-09 06:00:00,178,210,117.44
344,2015-11-10 06:00:00,178,210,123.22
345,2015-11-10 06:00:00,178,210,119.32
346,2015-11-10 06:00:00,178,210,117.22
347,2015-11-10 06:00:00,178,210,115.76
348,2015-11-10 06:00:00,178,210,118.38
349,2015-11-10 06:00:00,178,210,118.62
350,2015-11-10 06:00:00,178,210,122.26
351,2015-11-10 06:00:00,178,210,118.18
352,2015-11-10 06:00:00,178,210,114.84
353,2015-11-10 06:00:00,178,210,118.12
354,2015-11-10 06:00:00,178,210,120.76
355,2015-11-10 06:00:00,178,210,118.24
356,2015-11-10 06:00:00,178,210,120.86
357,2015-11-10 06:00:00,178,210,120.76
358,2015-11-10 06:00:00,178,210,115.32000000000001
359,2015-11-10 06:00:00,178,210,118.30000000000001
360,2015-11-10 06:00:00,178,210,116.58
361,2014-12-31 06:00:00,178,410,71.3
362,2015-03-05 06:00:00,178,410,70.14
363,2015-04-17 06:00:00,178,410,69.02000000000001
364,2015-02-25 06:00:00,178,,0.0
365,2015-07-27 06:00:00,178,,49.6
366,2015-08-14 06:00:00,178,110,31.92
367,2015-08-14 06:00:00,178,110,5.0
368,2015-08-20 06:00:00,178,110,9.719999999999999
